,language,family,core inventory
10,Agta,AUSTRONESIAN,"['p', 't', 'k', 'ʔ', 'b', 'd', 'ɡ', 'i', 'u', 'ɸ', 's', 'h', 'e', 'o', 'β', 'z', 'a', 'm', 'n', 'ŋ', 'ɾ', 'l', 'w', 'j', '']"
11,Ainu,LANGUAGE ISOLATE,"['p', 't', 'tʃ', 'k', 'ʔ', 'm', 'n', 'i', 'u', 's', 'h', 'e', 'o', 'r', 'a', 'w', 'j', '']"
12,Akan,NIGER-CONGO (Kwa),"['p', 't', 'tɕ', 'tɕɥ', 'k', 'kʷ', 'ĩ', 'ũ', 'i', 'u', 'b', 'd', 'dz', 'dʑ', 'dʑɥ', 'ɡ', 'ɡʷ', 'ẽ̝', 'õ̝', 'e̝', 'o̝', 'f', 's', 'sʲ', 'sʷ', 'ɕ', 'ɕɥ', 'h', 'hʷ', 'e', 'o', 'm', 'n', 'ɲ', 'ɲɥ', 'ŋ', 'ŋʷ', 'ɛ', 'ɔ', 'l', 'ã', 'a', 'w', 'ɹ', 'j', 'ɥ', '']"
13,Akan (Akuapem),NIGER-CONGO (Kwa),"['p', 't', 'tɕ', 'tɕɥ', 'k', 'kʷ', 'ĩ', 'ũ', 'i', 'u', 'b', 'd', 'dʑ', 'dʑɥ', 'ɡ', 'ɡʷ', 'ẽ̝', 'õ̝', 'e̝', 'o̝', 'f', 's', 'sʲ', 'sʷ', 'ɕ', 'ɕɥ', 'h', 'hʷ', 'e', 'o', 'm', 'n', 'ɲ', 'ɲɥ', 'ŋ', 'ŋʷ', 'ɛ', 'ɔ', 'l', 'a̝', 'ã', 'a', 'w', 'ɹ', 'j', 'ɥ', '']"
14,"Akan (Akuapem, Asante)",NIGER-CONGO (Kwa),"['p', 't', 'tɕ', 'tɕɥ', 'k', 'kʷ', 'ĩ', 'ũ', 'i', 'u', 'b', 'd', 'dʑ', 'dʑɥ', 'ɡ', 'ɡʷ', 'ẽ̝', 'õ̝', 'e̝', 'o̝', 'f', 's', 'sʲ', 'sʷ', 'ɕ', 'ɕɥ', 'h', 'hʷ', 'e', 'o', 'm', 'n', 'ɲ', 'ɲɥ', 'ŋ', 'ŋʷ', 'ɛ', 'ɔ', 'l', 'a̝', 'ã', 'a', 'w', 'ɹ', 'j', 'ɥ', '']"
15,Akan (Asante),NIGER-CONGO (Kwa),"['p', 't', 'tɕ', 'tɕɥ', 'k', 'kʷ', 'ĩ', 'ũ', 'i', 'u', 'b', 'd', 'dʑ', 'dʑɥ', 'ɡ', 'ɡʷ', 'ẽ̝', 'õ̝', 'e̝', 'o̝', 'f', 's', 'sʲ', 'sʷ', 'ɕ', 'ɕɥ', 'h', 'hʷ', 'e', 'o', 'm', 'n', 'ɲ', 'ɲɥ', 'ŋ', 'ŋʷ', 'ɛ', 'ɔ', 'l', 'a̝', 'r', 'ã', 'a', 'w', 'ɹ', 'j', 'ɥ', '']"
16,Akan (Fante),NIGER-CONGO (Kwa),"['p', 't', 'tɕ', 'tɕɥ', 'k', 'kʷ', 'ĩ', 'ũ', 'i', 'u', 'b', 'd', 'dʑ', 'dʑɥ', 'ɡ', 'ɡʷ', 'ẽ̝', 'õ̝', 'e̝', 'o̝', 'f', 's', 'sʲ', 'sʷ', 'ɕ', 'ɕɥ', 'h', 'hʷ', 'e', 'o', 'm', 'n', 'ɲ', 'ɲɥ', 'ŋ', 'ŋʷ', 'ɛ', 'ɔ', 'l', 'ã', 'a', 'w', 'ɹ', 'j', 'ɥ', '']"
17,Alabama,MUSKOGEAN,"['p', 't', 'tʃ', 'k', 'b', 'iː', 'oː', 'f', 'ɬ', 's', 'h', 'i', 'o', 'm', 'n', 'aː', 'l', 'a', 'j', 'w', '']"
18,Albanian,INDO-EUROPEAN,"['p', 't', 'ts', 'tʃ', 'c', 'k', 'b', 'd', 'dz', 'dʒ', 'ɟ', 'ɡ', 'i', 'y', 'u', 'f', 'θ', 's', 'ʃ', 'e', 'ə', 'o', 'v', 'ð', 'z', 'ʒ', 'a', 'm', 'n', 'ɲ', 'ŋ', 'l', 'ʎ', 'ɾ', 'r', 'w', 'j', 'h', '']"
19,Alyawarra,AUSTRALIAN (Pama-Nyungan),"['p', 't̪', 't', 'ʈ', 'c', 'k', 'p\uf180', 't̪ⁿ', 'tⁿ', 'ʈⁿ', 'c\uf181', 'k\uf182', 'i', 'u', 'm', 'n̪', 'n', 'ɳ', 'ɲ', 'ŋ', 'a', 'l̪', 'l', 'ɭ', 'ʎ', 'ɾ', 'w', 'ɽ', 'j', 'ij', 'aj', 'uw', '']"
20,Amele,TRANS-NEW GUINEA,"['t', 'k', 'ʔ', 'b', 'd', 'ɡ', 'ɡ͡b', 'i', 'u', 'f', 's', 'h', 'e', 'o', 'm', 'n', 'a', 'l', 'w', 'j', '']"
21,Amharic,AFRO-ASIATIC (Semitic),"['p', 't̪', 'tʃ', 'k', 'kʷ', 'ʔ', 'b', 'd̪', 'dʒ', 'ɡ', 'ɡʷ', 'i', 'ɨ', 'u', 'pʼ', 't̪ʼ', 'tʃʼ', 'kʼ', 'kʷʼ', 'e', 'ə', 'o', 'f', 's̪', 'ʃ', 'h', 'hʷ', 'a', 'z̪', 'ʒ', 's̪ʼ', 'm', 'n̪', 'ɲ', 'l', 'ɾ', 'j', 'w', '']"
22,Angami,SINO-TIBETAN,"['pʰ', 'tʰ', 'p', 't', 'b', 'd', 'pfʰ', 'tsʰ', 'tʃʰ', 'i', 'u', 'pf', 'ts', 'tʃ', 'e', 'ə', 'o', 'bv', 'dz', 'dʒ', 'a', 'f', 's', 'ʃ', 'h', 'v', 'z', 'ʒ', 'mʰ', 'nʰ', 'ɲʰ', 'i̯o', 'i̯e', 'u̯o', 'm', 'n', 'ɲ', 'ŋ', 'e̯o', 'ə̯i', 'o̯u', 'lʰ', 'rʰ', 'l', 'r', 'wʰ', 'jʰ', 'w', 'j', '']"
23,Anywa (aka Anuak),NILO-SAHARAN (Nilotic)  ,"['p', 't̪θ', 't', 'tʲ', 'k', 'i̤ː', 'i̤', 'i̤e̤', 'ṳo̤', 'ṳː', 'ṳ', 'b', 'd̪ð', 'd', 'dʲ', 'ɡ', 'ɪː', 'ɪ', 'ɪɛ', 'ʊɔ', 'ʊː', 'ʊ', 'm', 'n', 'ɲ', 'ŋ', 'e̤ː', 'e̤', 'o̤ː', 'o̤', 'l', 'ɛː', 'ɛ', 'ɔː', 'ɔ', 'r', 'ʌ̤ː', 'ʌ̤', 'w', 'j', 'aː', 'a', '']"
24,Ao,SINO-TIBETAN,"['p', 't', 'k', 'ʔ', 'ts', 'i', 'ɯ', 'u', 's', 'e', 'o', 'z', 'ʐ', 'a', 'm', 'n', 'ŋ', 'l', 'w', 'j', '']"
25,Aoma,NIGER-CONGO (Edoid),"['p', 't', 'k', 'k͡p', 'b', 'd', 'ɡ', 'ɡ͡b', 'i', 'ĩ', 'u', 'ũ', 'f', 's', 'x', 'h', 'e', 'o', 'v', 'z', 'ɣ', 'ɛ', 'ɛ̃', 'ɔ', 'ɔ̃', 'm', 'a', 'ã', 'r', 'l', 'ɹ', 'j', 'w', '']"
26,Apatani,SINO-TIBETAN,"['p', 't', 'k', 'b', 'd', 'ɡ', 'tʃ', 'i', 'ɨ', 'u', 'dʒ', 'e', 'o', 's', 'x', 'h', 'a', 'm', 'n', 'ŋ', 'r', 'l', 'j', '']"
27,Arabana,AUSTRALIAN (Pama-Nyungan),"['p', 't̪', 't', 'ʈ', 'c', 'k', 'm', 'n̪', 'n', 'ɳ', 'ɲ', 'ŋ', 'i', 'u', 'l̪', 'l', 'ɭ', 'ʎ', 'a', 'ɾ', 'r', 'w', 'ɻ', 'j', '']"
28,"Arabic, Abha",AFRO-ASIATIC (Semitic),"['t', 'tˠ', 'k', 'ʔ', 'b', 'd', 'dˠ', 'ɟʝ', 'ɡ', 'iː', 'uː', 'f', 'θ', 's', 'sˠ', 'ç', 'x', 'ħ', 'h', 'i', 'u', 'ð', 'ðˠ', 'z', 'ɣ', 'ʕ', 'eː', 'oː', 'm', 'n', 'aː', 'l', 'lˠ', 'a', 'ɾ', 'w', 'j', '']"
29,"Arabic, Egyptian",AFRO-ASIATIC (Semitic),"['t̪', 't̪ˤ', 'k', 'ʔ', 'b', 'd̪', 'd̪ˤ', 'ɡ', 'iː', 'uː', 'f', 's̪', 's̪ˤ', 'ç', 'χ', 'ħ', 'h', 'i', 'u', 'z̪', 'z̪ˤ', 'ʁ', 'ʕ', 'eː', 'oː', 'm', 'n̪', 'aː', 'l̪', 'l̪ˤ', 'a', 'ɾ̪', 'ɾ̪ˤ', 'w', 'j', '']"
30,"Arabic, Jordanian",AFRO-ASIATIC (Semitic),"['t̪', 't̪ˤ', 'tʃ', 'k', 'ʔ', 'b', 'd̪', 'dʒ', 'ɡ', 'iː', 'uː', 'f', 'θ', 's̪', 's̪ˤ', 'ʃ', 'x', 'ħ', 'h', 'i', 'u', 'ð', 'ðˤ', 'z̪', 'ɣ', 'ʕ', 'æː', 'm', 'n', 'æ', 'l', 'ɾ', 'w', 'j', '']"
31,"Arabic, Libyan",AFRO-ASIATIC (Semitic),"['t̪', 'tˤ', 'k', 'b', 'd̪', 'ɡ', 'iː', 'uː', 'f', 's̻', 's̻ˤ', 'ʃ', 'x', 'ħ', 'h', 'i', 'u', 'z̻', 'z̻ˤ', 'ʒ', 'ɣ', 'ʕ', 'eː', 'oː', 'm', 'n', 'æː', 'aː', 'l', 'æ', 'a', 'ɾ', 'w', 'j', '']"
32,"Arabic, Moroccan",AFRO-ASIATIC (Semitic),"['t', 'tˤ', 'k', 'q', 'ʔ', 'b', 'd', 'dˤ', 'ɡ', 'iː', 'uː', 'f', 's', 'sˤ', 'ʃ', 'x', 'ħ', 'h', 'u', 'z', 'ʒ', 'ɣ', 'ʕ', 'e', 'm', 'n', 'æː', 'l', 'ɾ', 'w', 'j', '']"
33,"Arabic, Moroccan (Northern)",AFRO-ASIATIC (Semitic),"['t', 'tˤ', 'k', 'q', 'ʔ', 'b', 'd', 'dˤ', 'ɡ', 'iː', 'uː', 'f', 's', 'sˤ', 'ʃ', 'x', 'ħ', 'h', 'u', 'z', 'ʒ', 'ɣ', 'ʕ', 'e', 'm', 'n', 'æː', 'l', 'ɾ', 'w', 'j', '']"
34,"Arabic, Muscat",AFRO-ASIATIC (Semitic),"['t', 'tˤ', 'kʲ', 'q', 'ʔ', 'b', 'd', 'ɡʲ', 'iː', 'uː', 'i', 'u', 'f', 'θ', 's', 'sˤ', 'ç', 'χ', 'ħ', 'h', 'eː', 'oː', 'ð', 'ðˤ', 'z', 'ʁ', 'ʕ', 'aː', 'm', 'n', 'a', 'l', 'ɾ', 'j', 'w', '']"
35,"Arabic, North Israel Bedouin",AFRO-ASIATIC (Semitic),"['t̪', 't̪ˤ', 'k', 'ʔ', 'b', 'bˤ', 'd̪', 'ɡ', 'ɡˤ', 'iː', 'uː', 'tʃ', 'i', 'u', 'dʒ', 'ɟʝ', 'e', 'o', 'f', 'fˤ', 'θ', 's̪', 's̪ˤ', 'ʃ', 'x', 'ħ', 'h', 'ə', 'ð', 'z̪', 'ɣ', 'ʕ', 'aː', 'm', 'mˤ', 'ðˤ', 'n', 'nˤ', 'a', 'l̪', 'l̪ˤ', 'ɾ', 'ɾˤ', 'w', 'wˤ', 'j', '']"
36,Arapesh,TORRICELLI,"['p', 't̪', 'k', 'b', 'd̪', 'dʒ', 'ɡ', 'i', 'y', 'u', 's', 'ʃ', 'h', 'e', 'ø', 'o', 'm', 'n', 'ɲ', 'a', 'l', 'w', 'j', '']"
37,Arbore,AFRO-ASIATIC (Cushitic),"['p', 't', 'tʃ', 'k', 'b', 'd', 'dʒ', 'ɡ', 'i', 'u', 'tʼ', 'tʃʼ', 'kʼ', 'ʔ', 'ɛ', 'ɔ', 'ɓ', 'ɗ', 'a', 'f', 's', 'ʃ', 'h', 'z', 'm', 'n', 'ɲ', 'ŋ', 'ɾ', 'l', 'w', 'j', '']"
38,Argobba,AFRO-ASIATIC (Semitic),"['t̪', 'tʃ', 'k', 'kʷ', 'ʔ', 'b', 'bʷ', 'd̪', 'dʒ', 'ɡ', 'ɡʷ', 'i', 'ɨ', 'u', 'pʼ', 't̪ʼ', 'tʃʼ', 'kʼ', 'kʷʼ', 'e', 'ə', 'o', 'a', 'f', 's̪', 'ʃ', 'h', 'z̪', 'ʒ', 's̪ʼ', 'm', 'n̪', 'ɲ', 'l̪', 'ɾ̪', 'w', 'j', '']"
39,"Armenian, Agn",INDO-EUROPEAN,"['pʰ', 'tʰ', 'kʰ', 'b', 'd', 'ɡ', 'i', 'y', 'u', 'tsʰ', 'tʃʰ', 'ɛ', 'ø', 'ɔ', 'dz', 'dʒ', 'a', 'f', 's', 'ʃ', 'χ', 'h', 'v', 'z', 'ʒ', 'ʁ', 'm', 'n', 'ɾ', 'r', 'l', 'j', '']"
40,"Armenian, Agulis",INDO-EUROPEAN,"['pʰ', 'tʰ', 'kʰ', 'b', 'd', 'ɡ', 'i', 'y', 'u', 'tsʰ', 'tʃʰ', 'e', 'ø', 'o', 'dz', 'dʒ', 'œ', 'a', 'f', 's', 'ʃ', 'χ', 'h', 'z', 'ʒ', 'ʁ', 'uj', 'm', 'n', 'ej', 'oj', 'ɾ', 'aj', 'r', 'l', '']"
41,"Armenian, Homshetsma",INDO-EUROPEAN,"['pʰ', 'tʰ', 'kʰ', 'b', 'd', 'ɡ', 'i', 'u', 'tsʰ', 'tʃʰ', 'ɛ', 'ɔ', 'dz', 'dʒ', 'a', 'f', 's', 'ʃ', 'χ', 'h', 'z', 'ʒ', 'ʁ', 'm', 'n', 'ɾ', 'ɹ', 'l', '']"
42,"Armenian, Karchevian",INDO-EUROPEAN,"['pʰ', 'tʰ', 'kʰ', 'b', 'd', 'ɡ', 'i', 'y', 'ɨ', 'u', 'tsʰ', 'tʃʰ', 'e', 'ø', 'o', 'dz', 'dʒ', 'ɛ', 'œ', 'a', 'f', 's', 'ʃ', 'χ', 'h', 'z', 'ʒ', 'ʁ', 'm', 'n', 'ɾ', 'l', '']"
43,"Armenian, Kirzan",INDO-EUROPEAN,"['pʰ', 'tʰ', 'kʰ', 'b', 'd', 'ɡ', 'i', 'u', 'tsʰ', 'tʃʰ', 'ɛ', 'ɔ', 'dz', 'dʒ', 'a', 'f', 's', 'ʃ', 'χ', 'h', 'z', 'ʒ', 'ʁ', 'm', 'n', 'ɾ', 'l', '']"
44,"Armenian, Marash",INDO-EUROPEAN,"['pʰ', 'tʰ', 'kʰ', 'b', 'd', 'ɡ', 'i', 'y', 'u', 'tsʰ', 'tʃʰ', 'e', 'ø', 'o', 'dz', 'dʒ', 'ɛ', 'f', 's', 'ʃ', 'χ', 'h', 'a', 'z', 'ʒ', 'ʁ', 'm', 'n', 'ɾ', 'l', '']"
45,"Armenian, Standard Eastern",INDO-EUROPEAN,"['pʰ', 'tʰ', 'kʰ', 'b', 'd', 'ɡ', 'i', 'u', 'tsʰ', 'tʃʰ', 'ɛ', 'ɔ', 'dz', 'dʒ', 'a', 'f', 's', 'ʃ', 'χ', 'h', 'z', 'ʒ', 'ʁ', 'm', 'n', 'ɾ', 'l', '']"
46,Ashuku,NIGER-CONGO,"['p', 't', 'k', 'k͡p', 'ts', 'b', 'd', 'ɡ', 'ɡ͡b', 'i', 'ĩ', 'ɯ', 'ɯ̃', 'u', 'ũ', 'dz', 'ɨ', 'ɨ̃', 'f', 's', 'h', 'ɛ', 'ɛ̃', 'ʌ', 'ʌ̃', 'ɔ', 'ɔ̃', 'v', 'z', 'a', 'ã', 'm', 'n', 'ŋ', 'r', 'w', 'j', '']"
47,Asmat (Flamingo Bay Dialect),TRANS-NEW GUINEA,"['p', 't', 'tʃ', 'k', 'f', 's', 'i', 'u', 'm', 'n', 'e', 'ə', 'o', 'ɾ', 'a', 'w', 'j', '']"
48,Assiniboine,SIOUAN,"['p', 't̪', 'tʃ', 'k', 's', 'ʃ', 'x', 'h', 'i', 'ĩ', 'u', 'ũ', 'z', 'ʒ', 'ɣ', 'e', 'o', 'm', 'n̪', 'a', 'ã', 'w', 'j', '']"
49,Assyrian Neo-Aramaic (Iraqi Koine),AFRO-ASIATIC (Semitic),"['pʰ', 'tʰ', 'tʃʰ', 'cʰ', 'p', 't', 'tʃ', 'c', 'q', 'ʔ', 'i', 'u', 'b', 'd', 'dʒ', 'ɟ', 'ɪ', 's', 'ʃ', 'χ', 'h', 'e', 'o', 'z', 'ʒ', 'ʁ', 'a', 'm', 'n', 'l', 'ɾ', 'ɥ', 'j', '']"
50,Assyrian Neo-Aramaic (Jilu dialect),AFRO-ASIATIC (Semitic),"['p', 'pˤ', 't', 'tˤ', 'tʃ', 'tʃˤ', 'k', 'q', 'b', 'd', 'dʒ', 'ɡ', 'i', 'u', 's', 'sˤ', 'ʃ', 'x', 'e', 'o', 'z', 'ʒ', 'ɣ', 'ɛ', 'm', 'n', 'h', 'a', 'l', 'r', 'w', 'j', '']"
51,Auchi (Yekhee),NIGER-CONGO (Edoid),"['p', 't', 'k', 'k͡p', 'b', 'd', 'ɡ', 'ɡ͡b', 'i', 'u', 'ts', 'k̂', 'k̂͡p̂', 'e', 'o', 'dz', 'ɡ̂', 'ɡ̂͡b̂', 'ɛ', 'ɔ', 'f', 's', 'a', 'v', 'm', 'n', 'm̂', 'r', 'ɺ', 'ʋ', 'j', 'w', '']"
52,Auyana,TRANS-NEW GUINEA,"['p', 't', 'k', 'kʷ', 'ʔ', 'b', 'd', 'ɡ', 'ɡʷ', 'i', 'u', 's', 'e', 'ə', 'o', 'm', 'n', 'a', 'w', 'j', '']"
53,Awa,TRANS-NEW GUINEA,"['p', 't', 'k', 'ʔ', 'b', 'd', 'ɡ', 'i', 'u', 's', 'e', 'o', 'm', 'n', 'æ', 'a', 'ɒ', 'w', 'j', '']"
54,Axininca Campa (Asháninca),ARAWAKAN,"['tʰ', 'p', 't', 'k', 'i', 'tsʰ', 'tçʰ', 'o', 'ts', 'tç', 'a', 's', 'ç', 'h', 'm', 'n', 'ɲ', 'ŋ', 'r', 'rʲ', 'w', 'j', 'ɰ', '']"
55,Aymara,AYMARAN,"['pʰ', 'tʰ', 'tʃʰ', 'kʰ', 'qʰ', 'p', 't', 'tʃ', 'k', 'q', 'i', 'u', 'pʼ', 'tʼ', 'tʃʼ', 'kʼ', 'qʼ', 'a', 's', 'χ', 'h', 'm', 'n', 'ɲ', 'iː', 'uː', 'l', 'ʎ', 'aː', 'ɾ', 'w', 'j', '']"
56,"Azari, Iranian (South Azerbaijani)",ALTAIC (Turkic),"['p', 't̪', 'tʃ', 'kʲ', 'ʔ', 'b', 'd̪', 'dʒ', 'ɡ', 'i', 'y', 'ɨ', 'u', 'f', 's', 'ʃ', 'x', 'h', 'e', 'ø', 'o', 'v', 'z', 'ʒ', 'æ', 'a', 'm', 'n', 'l', 'r', 'j', '']"
57,Bagri,INDO-EUROPEAN (Indo-Aryan),"['pʰ', 't̪ʰ', 'ʈʰ', 'cʰ', 'kʰ', 'p', 't̪', 'ʈ', 'c', 'k', 'ĩː', 'ũː', 'bʰ', 'd̪ʰ', 'ɖʰ', 'ɟʰ', 'ɡʰ', 'iː', 'uː', 'b', 'd̪', 'ɖ', 'ɟ', 'ɡ', 'ɪ̃', 'ʊ̃', 's̪', 'h', 'ɪ', 'ʊ', 'm', 'n̪', 'ɳ', 'ẽː', 'ə̃', 'õː', 'l̪', 'ɭ', 'eː', 'ə', 'oː', 'r̪', 'ɛ̃ː', 'ãː', 'ɔ̃ː', 'ɽ', 'ɛː', 'aː', 'ɔː', 'w', 'j', '']"
58,Balangao,AUSTRONESIAN,"['p', 't', 'k', 'ʔ', 'b', 'd', 'ɡ', 'i', 'ɨ', 'u', 's', 'h', 'e', 'a', 'o', 'm', 'n', 'ŋ', 'l', 'w', 'j', '']"
59,Banoni,AUSTRONESIAN,"['p', 't', 'tʃ', 'k', 'b', 'd', 'dʒ', 'ɡ', 'i', 'u', 'v', 'ɣ', 'e', 'o', 's', 'a', 'm', 'n', 'ŋ', 'r', '']"
60,Baré,ARAWAKAN,"['pʰ', 'tʰ', 'kʰ', 'p', 't', 'tʃ', 'k', 'i', 'u', 'b', 'd', 'e', 's', 'h', 'a', 'mʰ', 'nʰ', 'm', 'n', 'ɻ', 'wʰ', 'w', 'j', '']"
61,Bari (Kukú dialect),NILO-SAHARAN (Nilotic),"['p', 't', 'k', 'k͡p', 'ʔ', 'b', 'd', 'ɟ', 'ɡ', 'ɡ͡b', 'i', 'ɨ', 'u', 'ɓ', 'ɗ', 'ɪ', 'ʊ', 's', 'e', 'o', 'm', 'n', 'ɲ', 'ŋ', 'ŋ͡m', 'ɛ', 'ɔ', 'r', 'a', 'l', 'w', 'j', 'ʔj', '']"
62,Basque,BASQUE,"['p', 't̪', 't̻s̻', 'ts', 'tʃ', 'tʲ', 'k', 'b', 'd̪', 'dʲ', 'ɡ', 'i', 'u', 'f', 's̻', 's', 'ʃ', 'x', 'h', 'e', 'o', 'm', 'n̪', 'ɲ', 'a', 'l', 'ʎ', 'ɾ', 'r', '']"
